run_id,claim_id,section_id,section,claim_text,source_text,verifiable,reference_numbers,paper_ids
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0001,section_0001,1. Introduction,Chronic diseases account for approximately 71% of all deaths globally.,"Chronic diseases represent the leading cause of morbidity and mortality worldwide, accounting for approximately 71% of all deaths globally.",true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0002,section_0001,1. Introduction,"Management of diabetes, cardiovascular disease, chronic obstructive pulmonary disease (COPD), and hypertension requires continuous monitoring, medication adherence, and lifestyle modifications beyond periodic clinical encounters.","The management of conditions such as diabetes, cardiovascular disease, chronic obstructive pulmonary disease (COPD), and hypertension requires continuous monitoring, medication adherence, and lifestyle modifications that extend far beyond periodic clinical encounters.",true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0003,section_0001,1. Introduction,Traditional healthcare delivery models are characterized by episodic clinic visits and retrospective assessments.,"Traditional healthcare delivery models, characterized by episodic clinic visits and retrospective assessments, often fail to capture the dynamic nature of chronic disease progression and provide limited opportunities for timely intervention [1], [3].",true,"[1, 3]","[""2X30"", ""LG7B""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0004,section_0001,1. Introduction,Traditional healthcare delivery models often fail to capture the dynamic nature of chronic disease progression.,"Traditional healthcare delivery models, characterized by episodic clinic visits and retrospective assessments, often fail to capture the dynamic nature of chronic disease progression and provide limited opportunities for timely intervention [1], [3].",true,"[1, 3]","[""2X30"", ""LG7B""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0005,section_0001,1. Introduction,Traditional healthcare delivery models provide limited opportunities for timely intervention in chronic disease progression.,"Traditional healthcare delivery models, characterized by episodic clinic visits and retrospective assessments, often fail to capture the dynamic nature of chronic disease progression and provide limited opportunities for timely intervention [1], [3].",true,"[1, 3]","[""2X30"", ""LG7B""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0006,section_0001,1. Introduction,Wearable health devices range from smartwatches and fitness trackers to specialized medical-grade sensors.,Wearable health devices—ranging from smartwatches and fitness trackers to specialized medical-grade sensors—have emerged as a potentially transformative solution to these limitations.,true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0007,section_0001,1. Introduction,"Wearable health devices enable continuous, real-time monitoring of physiological parameters, activity levels, and behavioral patterns in patients' natural environments.","These technologies enable continuous, real-time monitoring of physiological parameters, activity levels, and behavioral patterns in patients' natural environments [7], [16].",true,"[7, 16]","[""9KR4"", ""L9P1""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0008,section_0001,1. Introduction,Wearables generate vast streams of patient-centered health data.,"By generating vast streams of patient-centered health data, wearables promise to shift chronic disease management from reactive to proactive care models, facilitating early detection of disease exacerbations, personalized treatment adjustments, and enhanced patient engagement in self-management [4], [5].",true,"[4, 5]","[""CZS7"", ""I93F""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0009,section_0001,1. Introduction,"Wearables have the potential to shift chronic disease management from reactive to proactive care models, facilitate early detection of disease exacerbations and personalized treatment adjustments, and enhance patient engagement in self-management.","By generating vast streams of patient-centered health data, wearables promise to shift chronic disease management from reactive to proactive care models, facilitating early detection of disease exacerbations, personalized treatment adjustments, and enhanced patient engagement in self-management [4], [5].",false,"[4, 5]","[""CZS7"", ""I93F""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0010,section_0001,1. Introduction,"Clinical integration of wearable devices faces significant challenges concerning patient adherence to long-term device use, measurement accuracy and reliability in real-world settings, and effects on clinically meaningful health outcomes.","Questions persist regarding patient adherence to long-term device use, the accuracy and reliability of measurements in real-world settings, and the ultimate impact on clinically meaningful health outcomes [3], [10].",true,"[3, 10]","[""2X30"", ""RUO4""]"
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0011,section_0001,1. Introduction,Numerous studies have examined individual aspects of wearable technology.,"While numerous studies have examined individual aspects of wearable technology, comprehensive syntheses addressing the intersection of adherence, accuracy, and long-term outcomes remain limited.",true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0012,section_0001,1. Introduction,"Comprehensive syntheses addressing the intersection of wearable-device adherence, accuracy, and long-term outcomes remain limited.","While numerous studies have examined individual aspects of wearable technology, comprehensive syntheses addressing the intersection of adherence, accuracy, and long-term outcomes remain limited.",true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0013,section_0001,1. Introduction,This review systematically analyzes evidence on patient adherence patterns and factors influencing sustained wearable use.,"This review addresses this gap by systematically analyzing evidence across three critical dimensions: (1) patient adherence patterns and factors influencing sustained wearable use, (2) device accuracy, validation methodologies, and measurement precision, and (3) long-term health outcomes including disease control metrics, quality of life, hospitalizations, and mortality.",true,[],[]
f857f01c-4b19-4065-a6f6-48275f39ef5a,claim_0014,section_0001,1. Introduction,"This review systematically analyzes evidence on wearable-device accuracy, validation methodologies, and measurement precision.","This review addresses this gap by systematically analyzing evidence across three critical dimensions: (1) patient adherence patterns and factors influencing sustained wearable use, (2) device accuracy, validation methodologies, and measurement precision, and (3) long-term health outcomes including disease control metrics, quality of life, hospitalizations, and mortality.",true,[],[]
