"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Adherence Findings","Accuracy and Validation","Long-term Health Outcomes"
"Utilization of wearable technology data in chronic disease management","https://scispace.com/papers/utilization-of-wearable-technology-data-in-chronic-disease-1blgdt5wur9r","2022","Journal Article","World Journal Of Advanced Research and Reviews","O.O.A. Oni
Topeola Balkis Awofala","10.30574/wjarr.2022.16.3.1208","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses wearable devices to monitor chronic conditions and improve outcomes, discusses patient compliance and device accuracy; long-term health impact is only vaguely addressed.","Chronic diseases such as diabetes and cardiovascular disease pose significant challenges for patients and healthcare systems around the globe. The advent of wearable technology, capable of monitoring vital health metrics such as glucose levels and heart rate in real-time, presents transformative possibilities for managing these conditions. This paper thoroughly explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing the role of continuous monitoring and timely interventions that these technologies facilitate. Additionally, it examines the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. The discussion extends to the integration challenges of these devices within existing healthcare frameworks, focusing on data privacy, accuracy, and the need for robust data management systems. The paper also considers the broader implications of wearable technology, suggesting that beyond individual patient management, these devices hold potential for large-scale health data analysis and policy-making, ultimately guiding future research directions to maximize their benefits in chronic disease management. This comprehensive examination not only underscores the capabilities of wearable technology but also maps out the necessary advancements and policy adjustments required to fully integrate these innovative tools into mainstream healthcare practices.","The paper examines patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. It emphasizes the need for robust data management systems to integrate these devices. Adherence rates, dropout rates, and specific duration of use are not reported.","Not reported. The paper discusses the effectiveness of wearable devices in enhancing patient outcomes and continuous monitoring but does not provide specific metrics, error rates, or validation methods regarding device accuracy or comparison with gold standards.""","Not reported. The paper emphasizes continuous monitoring and timely interventions for enhancing patient outcomes, and discusses patient compliance, engagement, and integration challenges. It suggests potential for large-scale health data analysis and policy-making, but does not specify long-term clinical endpoints, disease control metrics, quality of life improvements, hospitalizations, or mortality data, nor study duration."
"From Fat Cell to Fit Tech: Review on Management and Monitoring of Obesity and Role of Wearable Device","https://scispace.com/papers/from-fat-cell-to-fit-tech-review-on-management-and-28a5vpbckbz5","2025","Repository","","","10.5281/zenodo.15757154","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Discusses wearables for obesity management, noting adherence benefits and data accuracy issues, but only briefly mentions long-term outcomes like weight loss without detailed long-term impact.","Obesity is a complex global health concern that is associated with increased rates of illness, death, and financial hardship. Traditional monitoring techniques, such as BMI and routine lab testing, usually fail to record the physiological and behavioral information required for real-time early intervention. The management of obesity has seen a revolution thanks to wearable health technology (WHTs), which offer continuous monitoring of metabolic indicators, sleep, stress, physical activity, and caloric expenditure. This review explores how WHTs can be integrated with telemedicine, smart textiles, and artificial intelligence to deliver personalized, predictive care. Clinical studies and systematic reviews have demonstrated that wearable-based therapies enhance behavioral adherence, weight loss, and metabolic outcomes. However, there are still problems with cost, privacy, data accuracy, and user compliance. These problems need to be fixed if wearables are to be extensively utilized in therapeutic contexts. The report concludes by outlining possible future directions, including implantable sensors, AI-enhanced analytics, and ethical data governance, to optimize the treatment of obesity and prevent chronic diseases.","Clinical studies and systematic reviews have demonstrated that wearable-based therapies enhance behavioral adherence, weight loss, and metabolic outcomes. However, problems with cost, privacy, data accuracy, and user compliance still exist. No specific adherence rates, dropout rates, or duration of use are reported.","The metadata states that ""Clinical studies and systematic reviews have demonstrated that wearable-based therapies enhance behavioral adherence, weight loss, and metabolic outcomes."" However, it also notes ""problems with cost, privacy, data accuracy, and user compliance."" Specific metrics, error rates, or validation methods regarding device accuracy are not reported. Therefore, accuracy data is Not reported.","Clinical studies and systematic reviews have demonstrated that wearable-based therapies enhance behavioral adherence, weight loss, and metabolic outcomes. No specific long-term clinical endpoints like HbA1c, blood pressure, quality of life improvements, hospitalizations, or mortality are detailed, nor is study duration reported."
"The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care: A Comprehensive Review","https://scispace.com/papers/the-role-of-wearable-devices-in-chronic-disease-monitoring-idagpylffll4","2024","Journal Article","Cureus","Eman A Jafleh
Fatima A Alnaqbi
Hind A Almaeeni
Shooq Faqeeh
Moza A Alzaabi
Khaled Al Zaman","10.7759/cureus.68921","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 92/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Reviews wearable devices for chronic disease care, noting adherence gains and data accuracy issues, but only broadly cites outcome improvements without explicit long-term health outcome analysis.","Wearable health devices are becoming vital in chronic disease management because they offer real-time monitoring and personalized care. This review explores their effectiveness and challenges across medical fields, including cardiology, respiratory health, neurology, endocrinology, orthopedics, oncology, and mental health. A thorough literature search identified studies focusing on wearable devices’ impact on patient outcomes. In cardiology, wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. In respiratory health, these devices enhance asthma management and continuous monitoring of critical parameters. Neurological applications include seizure detection and Parkinson’s disease management, with wearables showing promising results in improving patient outcomes. In endocrinology, wearable technology advances thyroid dysfunction monitoring, fertility tracking, and diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation, while wearables help in early complication detection in oncology. Mental health benefits include anxiety detection, post-traumatic stress disorder management, and stress reduction through wearable biofeedback. In conclusion, wearable health devices offer transformative potential for managing chronic illnesses by enhancing real-time monitoring and patient engagement. Despite significant improvements in adherence and outcomes, challenges with data accuracy and privacy persist. However, with ongoing innovation and collaboration, we can all be part of the solution to maximize the benefits of wearable technologies in healthcare.","Wearable health devices show significant improvements in adherence and outcomes for chronic disease management. However, challenges with data accuracy and privacy persist. Specific adherence rates, dropout rates, factors affecting adherence, or duration of use are not explicitly detailed in the provided metadata.","Challenges with data accuracy persist, despite significant improvements in adherence and outcomes. The review highlights the transformative potential of wearable health devices in chronic disease management by enhancing real-time monitoring and patient engagement. However, specific metrics, error rates, or validation methods regarding device accuracy or comparison with gold standards are not reported in the provided metadata.","The review highlights that wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. They enhance asthma management, improve patient outcomes in seizure detection and Parkinson's disease, and advance diabetes management. Wearables also help in early complication detection in oncology and improve postsurgical recovery. Specific long-term clinical endpoints, disease control metrics, hospitalizations, or mortality data are not detailed in the provided text. Study duration is not reported."
"How Wearable Sensors Promote Public Health Through Chronic Disease Management","https://scispace.com/papers/how-wearable-sensors-promote-public-health-through-chronic-kuhh35qhjoou","2026","Journal Article","","Hongbo Wang","10.70121/001c.147475","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Discusses wearable sensors for chronic disease management, highlights patient adherence and data accuracy issues, but does not provide evidence on long-term health outcomes.","Wearable sensors are transforming the landscape of public health, particularly in the management of chronic diseases such as cardiovascular conditions and diabetes. These technologies enable continuous, non-invasive health monitoring, early detection of anomalies, and real-time data collection for both patients and healthcare providers. This paper explores how wearable biosensors, including AI-integrated devices and electrochemical sensors, contribute to improved chronic disease outcomes. By reviewing recent advancements published in leading biomedical journals, the study examines the effectiveness of wearable sensors in promoting patient adherence, enhancing telehealth, and reducing healthcare burdens. Despite their promise, challenges such as data accuracy, privacy concerns, and cost remain unresolved. This paper concludes with a discussion of emerging innovations and long-term hopes for how wearable technologies can further support public health initiatives.","Wearable sensors contribute to improved chronic disease outcomes by promoting patient adherence. However, specific adherence rates, dropout rates, factors affecting adherence, and duration of use are not reported in the metadata.","Not reported. The paper discusses challenges such as data accuracy but does not provide specific findings on device accuracy, validation studies, measurement precision, or comparison with gold standards, nor does it include specific metrics, error rates, or validation methods.","Not reported. The paper discusses how wearable sensors contribute to improved chronic disease outcomes by enhancing patient adherence, telehealth, and reducing healthcare burdens, but does not specify long-term clinical endpoints, disease control metrics, quality of life improvements, hospitalizations, or mortality."
"The Impact of Wearable Technology on Health Monitoring: A Data-Driven Analysis with Real-World Case Studies and Innovations","https://scispace.com/papers/the-impact-of-wearable-technology-on-health-monitoring-a-647c704bslg3","2024","Journal Article","Journal of Sustainable Solutions.","Nirav Narendrakumar Modh
Prashant S. Modi","10.36676/j.sust.sol.v1.i4.44","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes wearable tech for chronic disease management, noting compliance and accuracy issues, but lacks discussion of long-term health outcomes.","Wearable technology has revolutionised health monitoring with real-time data collection, personalised health insights, and enhanced healthcare access. A data-driven look at how wearable gadgets affect health outcomes in chronic illness management, fitness tracking, and preventive treatment. Real-world case studies show how wearable technology improves patient engagement and medical decision-making. AI-powered diagnostics and non-invasive biosensors are also examined as healthcare advancements. Data privacy, device accuracy, and user compliance remain issues despite their potential. This study emphasises the need for strong frameworks to address these issues and maximise wearable technology's health advantages","Not reported. The text mentions ""user compliance remain issues"" but does not provide specific adherence rates, dropout rates, factors affecting adherence, or duration of use for wearable devices in chronic disease management.","Data privacy, device accuracy, and user compliance remain issues despite their potential. This study emphasises the need for strong frameworks to address these issues and maximise wearable technology's health advantages. No specific metrics, error rates, or validation methods are reported.","Wearable technology affects health outcomes in chronic illness management, fitness tracking, and preventive treatment. It improves patient engagement and medical decision-making. Specific long-term outcome data, clinical endpoints, disease control metrics, hospitalizations, or mortality are not reported. Study duration is not available."
"Effectiveness of Wearable Technology in Monitoring Blood Sugar Levels in Diabetes Patients in Medan","https://scispace.com/papers/effectiveness-of-wearable-technology-in-monitoring-blood-4bldjkh5wqf2","2025","Journal Article","","Annisa Alsadilla Zahra
Yolanda Eliza Putri Lubis
Ica Yulianti Pulungan","10.59141/japendi.v6i12.8952","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Evaluates wearable devices for diabetes monitoring, reports increased patient compliance and HbA1c reduction, but does not discuss long-term health outcomes.","Diabetes mellitus is a chronic disease that requires continuous monitoring of blood sugar levels to prevent serious complications. Wearable technology has emerged as an innovative solution for health monitoring, especially for people with diabetes. This study aims to evaluate the effectiveness of wearable technology in monitoring blood sugar levels in diabetes patients in Medan. The research employed a systematic literature review, analyzing scientific sources from PubMed, Google Scholar, ScienceDirect, and IEEE Xplore databases published between 2014 and 2024. Inclusion criteria encompassed studies on wearable technology for diabetes monitoring with clear methodologies, while exclusion criteria eliminated duplicates, irrelevant articles, or those with weak methodologies. From an initial 150 articles, 45 studies involving a total of 2,456 participants were ultimately analyzed. The results showed that wearable technologies—such as smartwatches and continuous glucose monitoring (CGM) devices—offer convenience in real-time monitoring, increasing patient compliance by 97%, lowering HbA1c by 0.8%, increasing time in range by 16%, and reducing hypoglycemia episodes by 55%. However, challenges persist, including measurement accuracy, FDA validation, high costs, and individual variability, all of which affect result consistency. Implementation in the Medan area remains limited due to economic and infrastructure factors. This study concludes that wearable technology holds great potential for improving the quality of life of people with diabetes, but further research is needed to validate its accuracy and reliability, along with policy support to enhance accessibility in Indonesia. The findings have significant implications for healthcare policy development, suggesting the need for government subsidies and insurance coverage to boost technology adoption rates among Indonesian diabetes patients, particularly in urban settings like Medan, where diabetes prevalence continues to rise","Wearable technologies increased patient compliance by 97%. Challenges affecting adherence include measurement accuracy, FDA validation, high costs, and individual variability. Dropout rates and duration of use are not reported in the metadata.","Challenges persist, including measurement accuracy and FDA validation, affecting result consistency. The study highlights the need for further research to validate accuracy and reliability. Specific metrics, error rates, or comparisons with gold standards are not reported in detail.","Wearable technologies lowered HbA1c by 0.8%, increased time in range by 16%, and reduced hypoglycemia episodes by 55%. Patient compliance increased by 97%. The study analyzed articles published between 2014 and 2024. Quality of life improvements are mentioned as potential, but specific long-term outcomes like hospitalizations or mortality are not explicitly detailed."
"Analysis of Disease Diagnosis and Monitoring Methods Based on Wearable Devices","https://scispace.com/papers/analysis-of-disease-diagnosis-and-monitoring-methods-based-m8pzu86jbm3n","2025","Journal Article","Highlights in Science Engineering and Technology","Wenbo Li
Rui Tan","10.54097/3yrqv956","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes wearable devices for chronic disease diagnosis and monitoring, noting user compliance and claims of accurate data, but provides limited detail on long-term outcomes.","With the rapid advancement of sensor technology, artificial intelligence, and the Internet of Things (IoT), wearable devices have demonstrated tremendous potential in healthcare, providing revolutionary tools for early disease diagnosis, continuous monitoring, and personalized management. This review focuses on wearable technology applications in four major chronic diseases: heart disease, Parkinson's disease, diabetes, and depression. The article first outlines key physiological and behavioral parameters collected by wearables, such as heart rate variability, gait patterns, blood glucose levels, and sleep quality, then systematically analyzes core diagnostic and monitoring methodologies for these conditions. It summarizes critical biomarker identification strategies, mainstream data analysis algorithms, clinical validation outcomes, and practical advancements in disease prediction, condition assessment, and rehabilitation management. Future wearable technologies hold significant potential to deliver continuous, objective, real-time, and accurate health data, while also addressing challenges related to data privacy, user compliance, and regulatory approval. Through multi-modal data integration and the development of advanced AI algorithms, chronic diseases can achieve enhanced treatment and management, ultimately improving patient outcomes and quality of life.","Challenges related to user compliance are mentioned. However, specific findings on adherence rates, dropout rates, factors affecting adherence, or duration of use for wearable devices in chronic disease management are not reported in the metadata.","The review systematically analyzes core diagnostic and monitoring methodologies and clinical validation outcomes. It focuses on critical biomarker identification strategies and mainstream data analysis algorithms. Future wearable technologies aim to deliver continuous, objective, real-time, and accurate health data. Specific metrics, error rates, or direct comparisons with gold standards are not explicitly detailed.","Not reported. The article discusses the potential of wearable technologies for continuous, objective, real-time, and accurate health data, and enhanced treatment and management, ultimately improving patient outcomes and quality of life, but does not specify long-term clinical endpoints or study durations."
"Using m-health and wearable technologies to promote self-management and treatment adherence among cardiovascular disease patients: a clinical trial protocol","https://scispace.com/papers/using-m-health-and-wearable-technologies-to-promote-self-5eklgzvqpa","2023","Journal Article","European Journal of Cardiovascular Nursing","Pedro Sousa
P. Ferreira
Filipa Ventura
Maria dos Anjos Dixe
Ricardo Martinho
S. Dias
João Morais
Lino Gonçalves","10.1093/eurjcn/zvad064.015","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses mHealth wearables to improve self‑management and treatment adherence in cardiovascular disease patients, measuring reduction in recurrent cardiovascular events; does not discuss device accuracy.","Abstract Funding Acknowledgements Type of funding sources: None. Background Cardiovascular diseases (CVD) are the leading cause of death globally, taking an estimated 17.9 million lives each year. Cardiac rehabilitation (CR) is shown to reduce mortality and hospital readmissions, while improving physical fitness and quality of life. Despite the recommendations and proven benefits, acceptance and adherence remain low. Mobile health (mHealth) solutions may contribute to more personalized and tailored patient recommendations according to their specific needs. Purpose The main goal of this research is to determine the effectiveness of an e-therapeutic intervention in improving the adherence to treatment and self-management of cardiovascular outpatients, and on the reduction of recurrent cardiovascular events. Methods The study follows a multicentre randomized controlled design involving two cardiology units in the Centre Region of Portugal. Participants will be cardiovascular outpatients older than 18 years of age, after the onset of acute cardiac event or those who are engaged in a structured CR program). Sample size was calculated and we estimate to recruit a sample of 330 patients, per arm. The intervention length will be 6 months, with the direct support of an interdisciplinary team. There will be two groups of treatment: control group and the experimental group (standard outpatient protocol plus the e-therapeutic program). The e-therapeutic kit includes mobile apps and wearables according to the patient needs and profile, such as heart rate, blood pressure, peripheral oxygen saturation (SpO2), sleep and step trackers, symptoms, lifestyle self-monitoring tools, medication reminders or motivational resources. Outcomes: Outcome measurements will be carried out at the 3-month (T1) and the 6-month interventions (T2). The primary outcome will be the reduction of recurrent cardiovascular events, which is a composite of (i) cardiovascular rehospitalization or urgent visit; or (ii) unplanned revascularization; (iii) cardiovascular mortality; or (iv) worsening heart failure. Secondary outcomes measures will include: a) Quality of Life; b) Adherence to treatment; c) Nutrition and Physical Activity; d) Anthropometric measures; e) cardiovascular risk (SCORE). Conclusion The success of the e-therapeutic intervention will be a step toward the use of technological interfaces as an integral part of CR programs. Altogether, these programmes are likely to facilitate the management of resources for healthcare professionals and reduce inequality of access to healthcare for CVD patients. In the western world healthcare systems, the complementarity of mHealth solutions to the treatment, care and rehabilitation along the chronic diseases pathway is mandatory if aiming for sustainable, integrated healthcare systems that endorse patient’s willingness to be part of their treatment journey, while assisting them at distance.","Not reported. This clinical trial protocol aims to determine the effectiveness of an e-therapeutic intervention in improving adherence to treatment and self-management among cardiovascular outpatients, but it does not report adherence findings as it describes the study design.","Not reported. The paper describes a clinical trial protocol for an e-therapeutic intervention using mHealth and wearables but does not include specific findings on device accuracy, validation studies, measurement precision, error rates, or comparison with gold standards within the provided metadata.""","The study protocol aims to determine the effectiveness of an e-therapeutic intervention over 6 months. Primary outcomes include reduction of recurrent cardiovascular events (rehospitalization, urgent visit, unplanned revascularization, cardiovascular mortality, worsening heart failure). Secondary outcomes include Quality of Life, Adherence to treatment, Nutrition and Physical Activity, Anthropometric measures, and cardiovascular risk (SCORE). Not reported."
"When the Bottle Lies: Advances in Detecting Medication Adherence in Hypertension","https://www.sciencedirect.com/science/article/pii/S2949813926000790","","","","J Jegatheswaran
I Dasgupta","","","No","","GiRC8QPVHucJ","","","","","","","","","Google Scholar","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses wearable devices to detect medication adherence in hypertension, discussing adherence and accuracy, but does not address long-term health outcomes.","","Not reported. The paper discusses detecting medication adherence in hypertension using wearable devices, and mentions accuracy, but specific adherence rates, dropout rates, factors affecting adherence, or duration of use for wearable devices are not detailed in the metadata.","The paper notes that simple and inexpensive methods lack the accuracy of direct monitoring. It indicates that monitoring drug adherence is emerging through wearable devices. However, specific metrics, error rates, validation methods, or comparisons with gold standards for device accuracy are not reported.","Not reported. The paper discusses detecting medication adherence in hypertension using wearable devices, and addresses adherence and accuracy, but it does not address long-term health outcomes."
"Addressing User Concerns in Wearable Devices for Preventive Healthcare: Accuracy, Privacy, Data Sharing, and Continuous Usage Impacts","https://search.proquest.com/openview/9c9944751e412ad00bcaae508985bb60/1?pq-origsite=gscholar&cbl=18750&diss=y","","","","CK Mulakala","","","No","","K6vRXZx-zQkJ","","","","","","","","","Google Scholar","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Discusses wearable devices' accuracy and privacy, notes they can improve adherence in chronic disease management, but provides no long-term health outcomes data.","","The use of wearable devices for chronic disease management can foster greater adherence. However, specific adherence rates, dropout rates, factors affecting adherence, and duration of use are not reported in the metadata.","The paper discusses wearable devices' accuracy and notes their effectiveness depends on how they are used. It mentions they can improve adherence in chronic disease management. However, specific metrics, error rates, or validation methods regarding device accuracy, validation studies, or comparison with gold standards are not reported.","Not reported. The paper discusses wearable devices' accuracy and privacy, noting they can improve adherence in chronic disease management, but provides no long-term health outcomes data."
